,Municipio,Tipo,Plantas de tratamiento en operación: Total,Plantas de tratamiento en operación: Primario,Plantas de tratamiento en operación: Secundario,Capacidad instalada (Litros por segundo): Total,Capacidad instalada (Litros por segundo): Primario,Capacidad instalada (Litros por segundo): Secundario,Volumen tratado   (Millones de metros cúbicos): Total,Volumen tratado   (Millones de metros cúbicos): Primario,Volumen tratado   (Millones de metros cúbicos): Secundario,Viviendas particulares habitadas con agua entubada,Diaria,Cada tercer día,Una o dos veces a la semana,Esporádica,No especificado
0,Acateno,Público,1,0,1,1.8,0,1.8,0.06,0,0.06,1287.0,57.7311577311577,26.4957264957265,10.3341103341103,4.35120435120435,1.08780108780108
1,Acatlán,Privado,1,1,0,1.25,1.25,0,1.25,1.25,0,4579.0,3.88731164009609,19.9606901070102,70.0371260100458,5.67809565407294,0.43677658877484
2,Ahuacatlán,Público,3,0,3,56,0,56,1.77,0,1.77,2763.0,66.7752442996742,18.4943901556279,10.8215707564241,3.76402461093014,0.14477017734346
3,Ajalpan,Privado,2,2,0,6.1,6.1,0,0.1,0.1,0,9589.0,19.783084784649,25.1955365522995,39.4097403274585,15.4656377098759,0.14600062571696
4,Aljojuca,Público,2,0,2,8.54,0,8.54,0.2693,0,0.2693,1582.0,32.1112515802781,43.9949431099873,19.7218710493046,3.91908975979772,0.25284450063211
5,Amozoc,Privado,5,0,5,0.35,0,0.35,0.1,0,0.1,16103.0,4.35322610693659,5.53934049555983,61.9139290815376,28.0009936036763,0.19251071228963
6,Atlequizayan,Público,1,0,1,2.1,0,2.1,0.0662,0,0.0662,616.0,62.8246753246753,26.7857142857142,5.35714285714285,5.03246753246753,0
7,Atlixco,Público,1,0,1,112,0,112,2.8382,0,2.8382,26446.0,65.7452922937306,30.9158284806776,2.39733797171594,0.75247674506541,0.1890645088104
8,Atlixco,Privado,9,5,4,8.19,6.99,1.2,8.19,6.99,1.2,26446.0,65.7452922937306,30.9158284806776,2.39733797171594,0.75247674506541,0.1890645088104
9,Camocuautla,Público,1,0,1,2.3,0,2.3,0.0725,0,0.0725,575.0,66.7826086956522,15.4782608695652,2.60869565217391,14.7826086956521,0.34782608695652
10,Chapulco,Privado,5,5,0,0.8,0.8,0,0.8,0.8,0,1326.0,0.4524886877828,30.7692307692307,65.0075414781297,3.77073906485671,0
11,Chiautla,Privado,1,1,0,0.2,0.2,0,0.2,0.2,0,3510.0,8.11965811965812,29.7720797720797,29.7720797720797,31.9088319088319,0.42735042735042
12,Chiautzingo,Público,1,0,1,20,0,20,0.6307,0,0.6307,4002.0,47.2013993003498,21.3643178410794,21.6891554222888,9.74512743628186,0
13,Chichiquila,Público,1,0,1,5,0,5,0.1325,0,0.1325,3607.0,12.0044358192403,31.1616301635708,30.9675630718048,24.7296922650402,1.13667868034377
14,Chietla,Público,1,0,1,1.26,0,1.26,NS,0,NS,7477.0,34.7733048013909,61.3481342784539,3.43720743613748,0.24073826400962,0.20061522000802
15,Chignahuapan,Público,1,0,1,50,0,50,0.6938,0,0.6938,12086.0,36.1161674664901,46.284957802416,9.08489161012742,8.40642065199404,0.10756246897236
16,Chila,Público,1,0,1,3.1,0,3.1,0.0978,0,0.0978,843.0,12.3368920521945,14.1162514827995,72.5978647686832,0.94899169632265,0
17,Chilchotla,Público,1,0,1,12.2,0,12.2,0.3847,0,0.3847,2986.0,76.0214333556597,11.9557937039517,4.18620227729403,7.43469524447421,0.40187541862022
18,Coatepec,Público,1,0,1,1.1,0,1.1,NS,0,NS,174.0,0.57471264367816,14.9425287356321,51.1494252873563,33.3333333333333,0
19,Coronango,Privado,4,3,1,0.4,0.2,0.2,0.4,0.2,0.2,1018.0,2.35756385068762,8.25147347740668,74.950884086444,13.7524557956778,0.68762278978389
20,Cuautempan,Público,5,0,5,8.7,0,8.7,0.2744,0,0.2744,1516.0,60.0923482849604,13.3245382585752,20.976253298153,5.14511873350923,0.46174142480211
21,Cuautinchán,Público,3,0,3,14,0,14,0.3942,0,0.3942,1652.0,7.74818401937046,64.4067796610169,24.9394673123486,2.78450363196125,0.12106537530266
22,Cuautinchán,Privado,3,3,0,0.2,0.2,0,0.2,0.2,0,1652.0,7.74818401937046,64.4067796610169,24.9394673123486,2.78450363196125,0.12106537530266
23,Cuautlancingo,Privado,8,0,8,0.18,0,0.18,0.1,0,0.1,18773.0,37.3888030682363,42.7049485963884,18.2922282000745,1.34235337985404,0.27166675544665
24,Cuyoaco,Privado,1,1,0,NS,NS,0,NS,NS,0,3454.0,30.4284887087434,48.1470758540822,19.7162709901563,1.70816444701795,0
25,Eloxochitlán,Público,1,0,1,1.7,0,1.7,0.0536,0,0.0536,1280.0,41.796875,23.59375,19.140625,8.125,7.34375
26,Epatlán,Público,2,0,2,5.3,0,5.3,0.1671,0,0.1671,1087.0,21.8951241950322,59.5216191352346,17.0193192272309,1.37994480220791,0.18399264029438
27,Honey,Público,2,0,2,2.5,0,2.5,0.0788,0,0.0788,1510.0,22.8476821192053,60.2649006622516,11.523178807947,5.29801324503311,0.06622516556291
28,Huauchinango,Privado,1,1,0,0.1,0.1,0,0.1,0.1,0,19659.0,28.5365481458873,56.7068518235922,12.7778625565898,1.76000813876596,0.21872933516455
29,Huejotzingo,Público,3,0,3,125,0,125,2.1445,0,2.1445,12053.0,64.1168173898614,21.1814486020078,8.42943665477474,5.67493570065543,0.59736165270057
30,Huejotzingo,Privado,15,0,15,46.08,0,46.08,0.3,0,0.3,12053.0,64.1168173898614,21.1814486020078,8.42943665477474,5.67493570065543,0.59736165270057
31,Hueytamalco,Público,2,0,2,3.5,0,3.5,0.1104,0,0.1104,5572.0,70.6030150753769,12.3115577889447,5.77889447236181,11.3065326633165,0
32,Hueytamalco,Privado,2,2,0,0.17,0.17,0,0.17,0.17,0,5572.0,70.6030150753769,12.3115577889447,5.77889447236181,11.3065326633165,0
33,Hueytlalpan,Público,1,0,1,2.6,0,2.6,0.082,0,0.082,705.0,12.7659574468085,11.063829787234,48.9361702127659,26.8085106382978,0.42553191489361
34,Ixcaquixtla,Público,1,0,1,1.8,0,1.8,NS,0,NS,1556.0,46.6580976863753,1.47814910025706,8.16195372750642,43.4447300771208,0.25706940874035
35,Ixtacamaxtitlán,Público,2,0,2,3.1,0,3.1,0.0978,0,0.0978,5320.0,38.7593984962406,40.6390977443609,19.1541353383458,1.44736842105263,0
36,Ixtepec,Público,2,0,2,3,0,3,0.0946,0,0.0946,1382.0,27.2793053545586,22.3589001447178,35.0217076700434,14.7612156295224,0.57887120115774
37,Jalpan,Privado,2,0,2,0.62,0,0.62,6.2,0,6.2,1704.0,52.6408450704225,27.6408450704225,13.8497652582159,5.86854460093896,0
38,Jolalpan,Público,1,0,1,1.5,0,1.5,NS,0,NS,2645.0,3.70510396975425,8.46880907372401,26.0113421550094,61.8147448015123,0
39,Lafragua,Público,5,5,0,3.09,3.09,0,0.0975,0.0975,0,1382.0,2.02604920405209,17.2214182344428,70.3328509406657,10.4196816208393,0
40,Molcaxac,Público,1,0,1,1.6,0,1.6,0.0505,0,0.0505,698.0,3.72492836676217,58.7392550143266,28.080229226361,9.45558739255014,0
41,Nopalucan,Privado,1,0,1,7,0,7,0.2,0,0.2,5880.0,40.4761904761904,26.7006802721088,30.4081632653061,2.15986394557823,0.25510204081632
42,Oriental,Privado,1,0,1,NS,0,NS,NS,0,NS,2456.0,95.8469055374592,3.37947882736156,0.4885993485342,0.1628664495114,0.12214983713355
